id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28914680,Charming DuPont Circle Studio Oasis,32544024,Bill,,"Dupont Circle, Connecticut Avenue/K Street",38.91605,-77.03876,Entire home/apt,100,1,1,10/7/2018,0.03,1,0
28918619,The Capitol Choice on The Hill!!,206006529,Gwen,,"Capitol Hill, Lincoln Park",38.88856,-76.97665,Entire home/apt,165,3,40,4/6/2021,1.32,1,64
28928881,Cute Modern 1BR Smoke-free Apartment (No Parking),50382469,Ben,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91053,-77.01065,Entire home/apt,67,2,114,4/8/2021,3.71,1,168
28960863,PRO CLEANED! Sunny in Shaw - 2MIN from metro!,46630199,Home Sweet City,,"Shaw, Logan Circle",38.91345,-77.01935,Entire home/apt,174,3,57,3/7/2021,1.88,55,159
28984713,"Best apartment, easy access to everything",105711806,Jodi & Abraham,,"Union Station, Stanton Park, Kingman Park",38.89607,-76.97797,Entire home/apt,49,2,55,2/5/2021,1.84,5,258
28985370,Chic One Bedroom in Shaw / Logan Circle,10452082,Zachary,,"Shaw, Logan Circle",38.90635,-77.02917,Entire home/apt,145,3,5,8/4/2019,0.16,1,0
28989507,D.C. little house,218496501,Sara,,"Dupont Circle, Connecticut Avenue/K Street",38.90596,-77.04624,Entire home/apt,140,2,7,12/22/2019,0.23,1,169
29011049,Spacious Central DC Townhouse | Parking & Metro,9680354,Adam,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92383,-77.0269,Entire home/apt,442,30,63,3/15/2020,2.15,8,233
29014671,Bloomingdale Beauty,54857968,Pam,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91758,-77.01141,Entire home/apt,130,2,0,,,1,48
29028826,Brightwood Park Charm,87058974,Carlos,,"Brightwood Park, Crestwood, Petworth",38.95598,-77.02383,Entire home/apt,120,4,0,,,1,232
